"game_id","home_team_name","away_team_name","home_team_spread","home_final","away_final","quarters","total_line","total","result","sgp_hit","sgp_ins"
401468242,"Utah","Memphis",-3.5,124,123,4,225.5,247,1,0,1
401468243,"LA","New Orleans",2,91,112,4,225.5,203,-21,0,0
401468244,"Boston","Washington",9.5,112,94,4,221.5,206,18,0,1
401468245,"Cleveland","New York",3.5,121,108,4,220,229,13,0,1
401468246,"Detroit","Golden State",-7.5,128,114,4,230.5,242,14,0,0
401468247,"San Antonio","Minnesota",-6,107,98,4,238.5,205,9,0,0
401468248,"Dallas","Orlando",9,114,105,4,212,219,9,1,0
401468249,"Phoenix","Houston",12.5,124,109,4,228,233,15,1,0
401468250,"Los Angeles","Denver",-2.5,121,110,4,228.5,231,11,0,1
401468251,"Charlotte","Sacramento",-3.5,108,115,4,231.5,223,-7,1,0
401468252,"Washington","Philadelphia",-2.5,111,118,4,216.5,229,-7,0,1
401468253,"Brooklyn","Indiana",7.5,116,109,4,235,225,7,0,1
401468254,"Toronto","Atlanta",2,139,109,4,223,248,30,0,0
401468255,"Milwaukee","Detroit",13.5,110,108,4,225.5,218,2,0,1
401468256,"Utah","Memphis",-2.5,121,105,4,231.5,226,16,0,1
401468257,"LA","Houston",8.5,95,93,4,225.5,188,2,0,1
401468258,"Brooklyn","Chicago",2,99,108,4,232,207,-9,0,0
401468259,"Miami","Golden State",1,116,109,4,225.5,225,7,1,0
401468260,"Oklahoma City","Orlando",3,116,108,4,216,224,8,1,0
401468261,"Phoenix","Minnesota",4,116,107,4,228,223,9,1,0
401468262,"Cleveland","Boston",-1.5,114,113,5,220,227,1,1,0
401468263,"Philadelphia","Washington",5.5,111,121,4,218.5,232,-10,0,0
401468264,"Miami","Sacramento",4.5,110,107,4,220.5,217,3,1,0
401468265,"New York","Atlanta",2.5,99,112,4,232.5,211,-13,0,0
401468266,"Chicago","Charlotte",5.5,106,88,4,222.5,194,18,0,0
401468267,"Houston","LA",-6,101,109,4,223,210,-8,0,1
401468268,"Milwaukee","Detroit",11.5,116,91,4,223,207,25,0,0
401468269,"San Antonio","Toronto",-6.5,100,143,4,224,243,-43,0,0
401468270,"Dallas","Utah",6.5,103,100,4,222,203,3,0,1
401468271,"Portland","Memphis",-5,106,111,4,227.5,217,-5,0,1
401468272,"Los Angeles","New Orleans",-2.5,120,117,5,230,237,3,1,0
401468273,"Orlando","Golden State",-9.5,130,129,4,225.5,259,1,0,0
401468274,"Oklahoma City","Denver",-6.5,110,122,4,228.5,232,-12,1,0
401468275,"Detroit","Cleveland",-3.5,88,112,4,220,200,-24,0,0
401468276,"Indiana","Miami",-3,101,99,4,227,200,2,0,1
401468277,"Philadelphia","New York",1.5,104,106,4,220,210,-2,0,1
401468278,"Washington","Brooklyn",3,86,128,4,222.5,214,-42,0,1
401468279,"Boston","Chicago",7,123,119,4,223.5,242,4,0,1
401468280,"Memphis","Charlotte",11.5,130,99,4,225.5,229,31,0,1
401468281,"San Antonio","LA",-3.5,106,113,4,225.5,219,-7,1,0
401468282,"Dallas","Toronto",4.5,111,110,4,216,221,1,1,0
401468283,"New Orleans","Golden State",10.5,114,105,4,226.5,219,9,1,0
401468284,"Minnesota","Milwaukee",-2,102,115,4,225,217,-13,0,1
401468285,"Phoenix","Portland",12,106,108,4,217,214,-2,0,1
401468286,"Los Angeles","Utah",3.5,116,130,4,228.5,246,-14,0,0
401468287,"Orlando","Sacramento",-4.5,123,126,5,228.5,249,-3,0,1
401468288,"Charlotte","Brooklyn",-3.5,94,98,4,223.5,192,-4,0,1
401468289,"Atlanta","New Orleans",2.5,124,121,5,234.5,245,3,0,1
401468290,"New York","Boston",-4,118,133,4,227,251,-15,0,0
401468291,"Milwaukee","Oklahoma City",5.5,108,94,4,219,202,14,0,1
401468292,"Minnesota","Houston",8,129,117,4,234.5,246,12,0,1
401468293,"Denver","San Antonio",11.5,126,101,4,235,227,25,0,1
401468294,"Phoenix","Portland",12,102,82,4,215.5,184,20,0,1
401468295,"Los Angeles","Cleveland",-5.5,100,114,4,222.5,214,-14,1,0
401468296,"Toronto","Chicago",4,113,104,4,219.5,217,9,1,0
401468297,"Memphis","Washington",9.5,103,97,4,224,200,6,0,1
401468298,"LA","Utah",3.5,102,110,4,218.5,212,-8,0,1
401468299,"Charlotte","Washington",2,100,108,4,214,208,-8,0,1
401468300,"Orlando","Houston",5,127,134,4,224,261,-7,0,0
401468301,"Detroit","Oklahoma City",-2,112,103,4,223.5,215,9,0,1
401468302,"Indiana","New Orleans",-5,129,122,4,233,251,7,0,0
401468303,"Philadelphia","Phoenix",-1,100,88,4,215,188,12,0,0
401468304,"Atlanta","Milwaukee",-5.5,117,98,4,219.5,215,19,0,1
401468305,"Miami","Portland",5,107,110,4,216.5,217,-3,1,0
401468306,"Chicago","Toronto",2.5,111,97,4,221.5,208,14,0,0
